NP_type	Coating	core_size_nm	hydro_size_nm	Surf_charge_mV	Surface_area_m2_g	shape	Dose_microg_mL	Duration_h	Cell_name	Cell_species	cell_Organ	Cell_morphology	Cell_age	cell_type	sex	Assay	Test_indicator	Viability
Au	None	39	?	?	?	Rod	0,3	24	143B	Human	Bone	Mixed	Adult 	cancer	female	MTT	TetrazoliumSalt	84,99
Au	None	39	?	?	?	Rod	0,6	24	143B	Human	Bone	Mixed	Adult 	cancer	female	MTT	TetrazoliumSalt	86,85
Au	None	39	?	?	?	Rod	1,2	24	143B	Human	Bone	Mixed	Adult 	cancer	female	MTT	TetrazoliumSalt	85,48
Au	None	39	?	?	?	Rod	2,5	24	143B	Human	Bone	Mixed	Adult 	cancer	female	MTT	TetrazoliumSalt	70,72
Au	None	39	?	?	?	Rod	5	24	143B	Human	Bone	Mixed	Adult 	cancer	female	MTT	TetrazoliumSalt	54,09
Au	None	?	?	?	?	Star	0,3	24	143B	Human	Bone	Mixed	Adult 	cancer	female	MTT	TetrazoliumSalt	67,99
Au	None	?	?	?	?	Star	0,6	24	143B	Human	Bone	Mixed	Adult 	cancer	female	MTT	TetrazoliumSalt	16,38
Au	None	?	?	?	?	Star	1,2	24	143B	Human	Bone	Mixed	Adult 	cancer	female	MTT	TetrazoliumSalt	16,38
Au	None	?	?	?	?	Star	2,5	24	143B	Human	Bone	Mixed	Adult 	cancer	female	MTT	TetrazoliumSalt	14,76
Au	None	?	?	?	?	Star	5	24	143B	Human	Bone	Mixed	Adult 	cancer	female	MTT	TetrazoliumSalt	13,9
Au	None	?	?	?	?	Sphere	0,3	24	143B	Human	Bone	Mixed	Adult 	cancer	female	MTT	TetrazoliumSalt	94,54
Au	None	?	?	?	?	Sphere	0,6	24	143B	Human	Bone	Mixed	Adult 	cancer	female	MTT	TetrazoliumSalt	89,58
Au	None	?	?	?	?	Sphere	1,2	24	143B	Human	Bone	Mixed	Adult 	cancer	female	MTT	TetrazoliumSalt	89,83
Au	None	?	?	?	?	Sphere	2,5	24	143B	Human	Bone	Mixed	Adult 	cancer	female	MTT	TetrazoliumSalt	88,83
Au	None	?	?	?	?	Sphere	5	24	143B	Human	Bone	Mixed	Adult 	cancer	female	MTT	TetrazoliumSalt	86,1
Au	None	39	?	?	?	Rod	0,3	24	143B	Human	Bone	Mixed	Adult 	cancer	female	NR	toluylene red	101,63
Au	None	39	?	?	?	Rod	0,6	24	143B	Human	Bone	Mixed	Adult 	cancer	female	NR	toluylene red	98,37
Au	None	39	?	?	?	Rod	1,2	24	143B	Human	Bone	Mixed	Adult 	cancer	female	NR	toluylene red	98,37
Au	None	39	?	?	?	Rod	2,5	24	143B	Human	Bone	Mixed	Adult 	cancer	female	NR	toluylene red	87,09
Au	None	?	?	?	?	Rod	5	24	143B	Human	Bone	Mixed	Adult 	cancer	female	NR	toluylene red	79,35
Au	None	?	?	?	?	Star	0,3	24	143B	Human	Bone	Mixed	Adult 	cancer	female	NR	toluylene red	97,01
Au	None	?	?	?	?	Star	0,6	24	143B	Human	Bone	Mixed	Adult 	cancer	female	NR	toluylene red	82,34
Au	None	?	?	?	?	Star	1,2	24	143B	Human	Bone	Mixed	Adult 	cancer	female	NR	toluylene red	66,17
Au	None	?	?	?	?	Star	2,5	24	143B	Human	Bone	Mixed	Adult 	cancer	female	NR	toluylene red	26,22
Au	None	?	?	?	?	Star	5	24	143B	Human	Bone	Mixed	Adult 	cancer	female	NR	toluylene red	17,12
Au	None	?	?	?	?	Sphere	0,3	24	143B	Human	Bone	Mixed	Adult 	cancer	female	NR	toluylene red	102,45
Au	None	?	?	?	?	Sphere	0,6	24	143B	Human	Bone	Mixed	Adult 	cancer	female	NR	toluylene red	101,36
Au	None	?	?	?	?	Sphere	1,2	24	143B	Human	Bone	Mixed	Adult 	cancer	female	NR	toluylene red	103,26
Au	None	?	?	?	?	Sphere	2,5	24	143B	Human	Bone	Mixed	Adult 	cancer	female	NR	toluylene red	102,99
Au	None	?	?	?	?	Sphere	5	24	143B	Human	Bone	Mixed	Adult 	cancer	female	NR	toluylene red	103,26
MWCNT	None	47,87	?	?	243.38	?	7,8	48	16HBE14	Human	Heart	Epithelial	Young	Normal	male	CellTiter_Glo	luciferase	96,5
MWCNT	None	47,87	?	?	243,38	?	0	48	16HBE14	Human	Heart	Epithelial	Young	Normal	male	CellTiter_Glo	luciferase	100
MWCNT	None	47,87	?	?	243,38	?	3,9	48	16HBE14	Human	Heart	Epithelial	Young	Normal	male	CellTiter_Glo	luciferase	103,95
MWCNT	None	47,87	?	?	243,38	?	15,6	48	16HBE14	Human	Heart	Epithelial	Young	Normal	male	CellTiter_Glo	luciferase	95,13
MWCNT	None	47,87	?	?	243,38	?	31,3	48	16HBE14	Human	Heart	Epithelial	Young	Normal	male	CellTiter_Glo	luciferase	88,02
MWCNT	None	47,87	?	?	243,38	?	62,5	48	16HBE14	Human	Heart	Epithelial	Young	Normal	male	CellTiter_Glo	luciferase	75,82
MWCNT	None	47,87	?	?	243,38	?	125	48	16HBE14	Human	Heart	Epithelial	Young	Normal	male	CellTiter_Glo	luciferase	62,58
MWCNT	None	28,26	?	?	235,78	?	0	48	16HBE14	Human	Heart	Epithelial	Young	Normal	male	CellTiter_Glo	luciferase	100
MWCNT	None	28,26	?	?	235,78	?	3,9	48	16HBE14	Human	Heart	Epithelial	Young	Normal	male	CellTiter_Glo	luciferase	96,05
MWCNT	None	28,26	?	?	235,78	?	7,8	48	16HBE14	Human	Heart	Epithelial	Young	Normal	male	CellTiter_Glo	luciferase	95,01
