NP_type,Coating,core_size_nm,Surf_charge_mV,shape,Dose_microg_mL,Duration_h,Cell_name,Cell_species,cell_Organ,Cell_morphology,Cell_age,cell_type,sex,Assay,Test_indicator,nanomaterial_group,viability_class
CdSe,None,2.2,,,0.5,24.0,JB6,Human,Blood,Lymphocyte,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,1
CdSeTe,None,4.3,,,0.08,24.0,J774A.1,Mouse,Ascites,Macrophage,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,0
CdTe,None,4.5,,,3.0,48.0,HEK293,Human,Kidney,Epithelial,fetus,cancer,female,MTT,TetrazoliumSalt,quantum_dots,0
CdTe,None,2.2,,,12.2,12.0,L929,Mouse,Connective-tissue,Fibroblast,neonate,Normal,male,MTT,TetrazoliumSalt,quantum_dots,1
CdTe,None,5.0,,,0.05,24.0,J774A.1,Mouse,Ascites,Macrophage,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,1
CdSe,SSA,2.6,,,16.01,24.0,EL-4,Mouse,Blood,Lymphoblast,,cancer,,Colonigenic-assay,CrystalViolet,quantum_dots,1
CdTe,MTX,,,,3.47,24.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,1
CdTe,None,4.5,,,0.3,120.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,None,7.2,,,0.1,12.0,HCT-116,Human,Colon,Epithelial,Adult,cancer,male,WST-1,TetrazoliumSalt,quantum_dots,0
CdTe,None,3.5,,,3.0,12.0,K562,Human,BoneMarrow,Lymphoblast,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,1
CdTe,None,5.0,,,2.97,21.0,Mussel,Mussel,Immune-system,Hemocyte,,Normal,,FACS,fluorescent,quantum_dots,0
CdSe,Gelatin_based,5.0,,,0.57,24.0,UTA-6,Human,Bone,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,1
CdTe,Cystein_based,,,,1000.0,24.0,MCF7,Human,Breast,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,None,6.7,,,0.04,24.0,BT-20,Human,Breast,Epithelial,Adult,cancer,female,MTS,TetrazoliumSalt,quantum_dots,1
QDs,COOH,10.0,,,0.0,24.0,MG­63,Human,Bone,Fibroblast,Adult,cancer,male,Live/Dead,CalceinAM,quantum_dots,0
CdTe,None,5.01,,,0.09,24.0,A549,Human,Lung,Epithelial,Adult,cancer,male,Others,,quantum_dots,1
CdSe,His_based,4.3,,,0.25,24.0,PC3,Human,Prostate,Epithelial,Adult,cancer,male,WST-1,TetrazoliumSalt,quantum_dots,0
CdSe,None,4.0,,,6.75,48.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,SRB,resazurin/sulforhodamine_B,quantum_dots,0
CdSeTe,HSV_TK_based,12.0,,,0.01,72.0,HL-7702,Human,Liver,Hepatocyte,,Normal,,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,His_based,4.6,,,1.2,48.0,SH­SY5Y,Human,BoneMarrow,Epithelial,Young,cancer,female,MTT,TetrazoliumSalt,quantum_dots,0
CdTe,Cystein_based,3.4,,,1.38,24.0,C33,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,1
CdTe,None,5.3,,,0.02,8.0,HEK293,Human,Kidney,Epithelial,fetus,cancer,female,MTT,TetrazoliumSalt,quantum_dots,0
CdTe,None,4.0,,,0.1,24.0,HEK293,Human,Kidney,Epithelial,fetus,cancer,female,MTT,TetrazoliumSalt,quantum_dots,0
CdTe,GSH,3.2,,,0.5,24.0,NIH3T3,Mouse,Embryo,Fibroblast,fetus,Normal,,MTT,TetrazoliumSalt,quantum_dots,1
CdTe,None,6.0,,,510.0,24.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,Cystein_based,4.2,,,1.51,48.0,SH­SY5Y,Human,BoneMarrow,Epithelial,Young,cancer,female,MTT,TetrazoliumSalt,quantum_dots,1
CdSe,None,3.0,,,8.28,48.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,1
CdSe,None,9.0,,,0.0,4.0,MCF7,Human,Breast,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,0
CdTe,None,3.0,,,24.11,48.0,VERO,Monkey,Kidney,Epithelial,Adult,Normal,,MTT,TetrazoliumSalt,quantum_dots,1
CdSe,His_based,4.6,,,1.2,48.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,CPP,4.0,,,0.1,2.0,Fibroblasts,Human,Skin,Fibroblast,Adult,Normal,,MTT,TetrazoliumSalt,quantum_dots,0
CdS,Cystein_based,2.3,,,8.15,48.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,1
CdTe,Folic_acid_based,6.0,,,0.0,24.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,None,9.48,,,0.01,22.0,NHBE,Human,Lung,Epithelial,Adult,Normal,,WST-1,TetrazoliumSalt,quantum_dots,1
CdSe,Arginine_based,3.36,,,2.84,48.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,1
