NP_type,Coating,core_size_nm,Surf_charge_mV,shape,Dose_microg_mL,Duration_h,Cell_name,Cell_species,cell_Organ,Cell_morphology,Cell_age,cell_type,sex,Assay,Test_indicator,nanomaterial_group,Viability
CdTe,Cystein_based,2.71,,,0.54,1.0,PANC-1,Human,Pancreas,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,81.36
CdTe,None,3.04,,,0.19,24.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,86.2
CdSe,None,4.5,,,0.05,24.0,BEAS_2B,Human,Lung,Epithelial,Adult,Normal,,MTT,TetrazoliumSalt,quantum_dots,8.0
CdSe,Arginine_based,4.55,,,1.31,48.0,SH­SY5Y,Human,BoneMarrow,Epithelial,Young,cancer,female,MTT,TetrazoliumSalt,quantum_dots,17.0
CdTe,None,5.3,,,0.02,12.0,Raji,Human,Lymph,Lymphocyte,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,85.0
CdSe,Serum_based,6.0,,,0.02,18.0,TK6,Human,Spleen,Lymphoblast,Young,cancer,male,Colonigenic-assay,CrystalViolet,quantum_dots,15.0
CdTe,None,2.8,,,39.44,5.0,HEK293,Human,Kidney,Epithelial,fetus,cancer,female,MTT,TetrazoliumSalt,quantum_dots,45.0
CdSe,Methallothionein,1.16,,,21.59,24.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,53.45
CdSe,None,5.5,,,0.18,24.0,A375,Human,Skin,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,33.33
CdSe,Cystein_based,4.8,,,0.1,3.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,SRB,resazurin/sulforhodamine_B,quantum_dots,96.0
CdSe,None,7.2,,,0.01,24.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,WST-1,TetrazoliumSalt,quantum_dots,105.83
CdTe,GSH,3.2,,,0.5,24.0,MCF7,Human,Breast,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,30.0
CdTe,BSA,3.6,,,0.09,6.0,MDA­MB­231,Human,Breast,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,50.0
CdSe,Hypotonic,3.4,,,0.01,0.0,H9C2,Rat,Heart,Myoblast,,cancer,male,Live/Dead,,quantum_dots,98.71
CdSe,CPP,4.0,,,0.3,4.0,EAhy926,Human,Somatic Cell-hybrid,Endothelial,,Normal,male,MTS,TetrazoliumSalt,quantum_dots,50.0
CdTe,None,3.9,,,0.1,12.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,WST-1,TetrazoliumSalt,quantum_dots,80.0
CdSe,None,4.0,,,0.2,1.0,HEK293,Human,Kidney,Epithelial,fetus,cancer,female,MTS,TetrazoliumSalt,quantum_dots,81.0
CdSe,Saponin,3.4,,,0.01,0.0,H9C2,Rat,Heart,Myoblast,,cancer,male,Live/Dead,,quantum_dots,90.32
CdSe,HSA,4.0,,,0.01,4.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,96.0
CdSe,None,5.2,,,0.0,24.0,Neuro­2a,Mouse,Brain,Neural,Adult,cancer,,LDH,LDHrelease,quantum_dots,10.83
CdTe,D-GSH,3.2,,,0.04,24.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,induction-of-autophagy,,quantum_dots,35.0
CdTe,TNF-A,2.7,,,0.16,12.0,PANC-1,Human,Pancreas,Epithelial,Adult,cancer,male,Luciferase-assay,,quantum_dots,13.13
CdSe,None,6.5,,,0.0,24.0,HaCat,Human,Skin,Keratinocyte,Adult,Normal,male,MTT,TetrazoliumSalt,quantum_dots,50.0
CdS,None,5.0,,,0.01,120.0,SAOS,Human,Bone,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,76.0
CdSe,Arginine_based,4.0,,,0.45,48.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,84.0
CdTe,None,4.0,,,0.54,24.0,SK­BR­3,Human,Breast,Epithelial,Adult,cancer,female,SRB,resazurin/sulforhodamine_B,quantum_dots,85.93
CdSe,None,4.8,,,0.1,6.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,SRB,resazurin/sulforhodamine_B,quantum_dots,101.33
CdSeTe,HSV_TK_based,12.0,,,0.01,72.0,BEL,Human,Liver,Hepatocyte,Adult,cancer,,MTT,TetrazoliumSalt,quantum_dots,97.78
CdSeTe,HSV_TK_based,12.0,,,0.01,96.0,Hep3B,Human,Liver,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,30.93
CdTe,None,4.21,,,0.13,24.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,SRB,resazurin/sulforhodamine_B,quantum_dots,69.39
QDs,None,2.5,,,25.0,24.0,Caco_2,Human,Colon,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,85.08
CdSe,None,9.0,,,0.0,48.0,MCF7,Human,Breast,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,34.78
CdSeTe,None,2.5,,,3.51,24.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,10.0
CdSe,None,4.0,,,0.01,168.0,hMSCs,Human,BoneMarrow,Mesenchymal,Adult,Normal,,MTT,TetrazoliumSalt,quantum_dots,100.0
CdSe,None,7.2,,,0.01,12.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,WST-1,TetrazoliumSalt,quantum_dots,100.53
CdSe,CPP,4.0,,,0.2,1.0,COS­1,Monkey,Kidney,Fibroblast,Adult,Normal,,MTT,TetrazoliumSalt,quantum_dots,81.74
CdSe,Cystein_based,3.5,,,2.98,24.0,hMSCs,Human,BoneMarrow,Mesenchymal,Adult,Normal,,MTT,TetrazoliumSalt,quantum_dots,69.86
CdS,None,4.5,,,1.45,96.0,Hepatocyte,Rat,Liver,Hepatocyte,,Normal,,MTT,TetrazoliumSalt,quantum_dots,62.65
CdSe,CPP,4.0,,,0.2,1.0,THP_1,Human,Blood,monocyte,neonate,cancer,male,MTS,TetrazoliumSalt,quantum_dots,82.0
CdTe,None,4.6,,,1.0,24.0,HEK293,Human,Kidney,Epithelial,fetus,cancer,female,Calcein,CalceinAM,quantum_dots,100.0
CdSe,Triton-X100,9.0,,,0.2,72.0,Caco_2,Human,Colon,Epithelial,Adult,cancer,male,MTS,TetrazoliumSalt,quantum_dots,4.0
CdSe,None,5.0,,,0.08,8.0,HSF-42,Human,Skin,Fibroblast,,,,Trypan_Blue,Trypan_Blue,quantum_dots,87.0
CdSe,None,2.0,,,7.18,72.0,J774A.1,Mouse,Ascites,Macrophage,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,3.3
CdSe,None,5.0,,,0.04,6.0,SK-N-SH,Human,Brain,Epithelial,Young,cancer,female,MTT,TetrazoliumSalt,quantum_dots,94.4
CdSe,Serum_based,6.0,,,0.02,24.0,BEAS_2B,Human,Lung,Epithelial,Adult,Normal,,Colonigenic-assay,CrystalViolet,quantum_dots,122.73
CdTe,None,4.0,,,1.0,72.0,HEK293,Human,Kidney,Epithelial,fetus,cancer,female,Calcein,CalceinAM,quantum_dots,66.15
CdTe,Flavonoid,4.0,,,0.01,24.0,K562,Human,BoneMarrow,Lymphoblast,Adult,cancer,female,FACS,fluorescent,quantum_dots,50.0
CdSe,NLS,,,,0.01,24.0,NIH3T3,Mouse,Embryo,Fibroblast,fetus,Normal,,MTT,TetrazoliumSalt,quantum_dots,72.55
CdTe,None,2.7,,,70.0,19.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,61.0
CdSe,None,8.3,,,0.02,4.0,HFF,Human,Foreskin,Fibroblast,neonate,Normal,male,Live/Dead,,quantum_dots,4.4
CdSe,None,8.3,,,0.02,15.0,HFF,Human,Foreskin,Fibroblast,neonate,Normal,male,Live/Dead,,quantum_dots,4.0
CdZnSeS,Polyglutamate,12.5,,,0.39,48.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,16.93
CdTe,Gelatin_based,4.5,,,0.1,24.0,PC12,Rat,Adrenal-gland,Irregular,Adult,cancer,male,APO_BrdU_TUNEL,BrdUTP,quantum_dots,66.0
CdSe,None,9.0,,,0.21,432.0,hMSCs,Human,BoneMarrow,Mesenchymal,Adult,Normal,,MTT,TetrazoliumSalt,quantum_dots,84.62
CdTe,gum_arabic,3.0,,,0.2,48.0,K562,Human,BoneMarrow,Lymphoblast,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,5.2
CdTe,None,4.3,,,0.1,12.0,NIH3T3,Mouse,Embryo,Fibroblast,fetus,Normal,,WST-1,TetrazoliumSalt,quantum_dots,50.0
