NP_type,Coating,core_size_nm,hydro_size_nm,Surf_charge_mV,Surface_area_m2_g,shape,Dose_microg_mL,Duration_h,Cell_name,Cell_species,cell_Organ,Cell_morphology,Cell_age,cell_type,sex,Assay,Test_indicator,nanomaterial_group,Viability
CuO,None,12.8,305.3,7.6,,,6.3,,BEAS_2B,Human,Lung,Epithelial,Adult,Normal,,MTS,TetrazoliumSalt,meta_oxide,82.0
PLGA,PVA,182.0,,-3.5,,Sphere,500.0,4.0,Calu-3,Human,Lung,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,other,94.29
CuO,None,46.3,239.0,42.8,24.1,,0.0,24.0,HCMEC,Human,Heart,Endothelial,Adult,Normal,,MTT,TetrazoliumSalt,meta_oxide,96.13
Hydroxyapatite,None,20.0,,-5.3,,Rod,10.0,24.0,RAW 264.7,Mouse,Blood,Macrophage,Adult,cancer,male,CCK_8,TetrazoliumSalt,other,104.89
Au,Citrate_based,61.06,,-30.55,,Sphere,1.0,24.0,CCL-110,Human,Skin,Fibroblast,fetus,Normal,female,MTS,TetrazoliumSalt,other,94.17
ZnO,None,35.6,295.5,-41.6,27.9,,10.0,24.0,SW480,Human,Colon,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,meta_oxide,2.0
Au,None,124.1,,-24.14,,Star,0.2,24.0,RFPEC,Rat,FatPad,Endothelial,Adult,Normal,,MTS,TetrazoliumSalt,other,120.51
Er2O3,None,113.8,442.5,26.14,,Cubic,200.0,24.0,THP_1,Human,Blood,Macrophage,neonate,cancer,male,MTS,TetrazoliumSalt,meta_oxide,89.74
ZnO,None,100.0,258.55,-9.96,,Sphere,35.0,24.0,SH­SY5Y,Human,BoneMarrow,Epithelial,Young,cancer,female,NR,toluylene red,meta_oxide,69.0
Au,Chitosan,16.0,,33.23,,Rod,,24.0,AGS,Human,Stomach,Epithelial,,cancer,female,MTT,TetrazoliumSalt,other,3.76
Au,None,86.8,,-28.32,,Sphere,0.2,24.0,RFPEC,Rat,FatPad,Endothelial,Adult,Normal,,MTS,TetrazoliumSalt,other,99.39
Hydroxyapatite,None,25.0,,-0.4,,Rod,100.0,24.0,RAW 264.7,Mouse,Blood,Macrophage,Adult,cancer,male,CCK_8,TetrazoliumSalt,other,111.49
Ag,None,29.57,,-24.58,,Sphere,400.0,72.0,HaCat,Human,Skin,Keratinocyte,Adult,Normal,male,NR,toluylene red,other,19.0
PLGA,PEG_based,30.0,,-24.09,,Needle,50.0,24.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,other,76.63
Ag,None,65.0,,-30.0,,Sphere,200.0,48.0,A549,Human,Lung,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,other,48.24
Au,None,65.0,,-28.05,,Rod,40.0,96.0,CCL-110,Human,Skin,Fibroblast,fetus,Normal,female,MTS,TetrazoliumSalt,other,77.56
Au,Chitosan,3.7,,33.23,,Rod,,24.0,HT29,Human,Colon,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,other,2.28
ZrO2,None,10.0,,-45.5,,Sphere,150.0,24.0,HCT-116,Human,Colon,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,meta_oxide,51.1
Pt,Folic_acid_based,12.5,91.3,-40.5,,Sphere,25.0,24.0,MCF7,Human,Breast,Epithelial,Adult,cancer,female,CellTiter_Glo,luciferase,other,78.39
EudragitRL,None,142.0,185.0,56.0,,Sphere,100.0,24.0,THP_1,Human,Blood,monocyte,neonate,cancer,male,Live/Dead,Trypan_Blue,other,136.46
MgO,None,,,-7.01,,Sphere,600.0,24.0,3T3_L1,Mouse,Embryo,Fibroblast,fetus,Normal,,MTT,TetrazoliumSalt,meta_oxide,49.38
MWCNT,None,38.8,179.13,-16.84,,Needle,32.0,24.0,HUVEC,Human,Umbilical,Endothelial,fetus,Normal,,CCK_8,TetrazoliumSalt,nanotubes,96.85
Mn2O3,None,51.5,298.4,-46.1,,,200.0,,BEAS_2B,Human,Lung,Epithelial,Adult,Normal,,MTS,TetrazoliumSalt,meta_oxide,14.2
MWCNT,None,,,-13.0,,Needle,200.0,4.0,NR8383,Rat,Lung,Macrophage,Adult,Normal,male,MTT,TetrazoliumSalt,nanotubes,11.73
MWCNT,None,17.6,171.4,0.9,,Needle,8.0,24.0,HUVEC,Human,Umbilical,Endothelial,fetus,Normal,,CCK_8,TetrazoliumSalt,nanotubes,92.5
SiO2,None,178.0,297.5,58.0,,Sphere,0.0,24.0,primary,Human,Lung,Epithelial,Adult,Normal,,Vialight,luciferase,meta_oxide,87.09
Au,Chitosan,,,33.23,,Rod,,24.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,other,74.1
CuO,None,30.0,276.4,-18.08,,Sphere,100.0,48.0,A549,Human,Lung,Epithelial,Adult,cancer,male,CCK_8,TetrazoliumSalt,meta_oxide,0.78
Au,Chitosan,99.0,123.9,47.44,,Star,,24.0,HT29,Human,Colon,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,other,99.27
Pt,PVP,4.0,13.5,-8.0,,,0.01,72.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,CellTiter_Glo,luciferase,other,76.76
Polystyrene,NH2,100.0,,24.6,,Sphere,50.0,24.0,TT1,Human,Lung,Epithelial,Adult,cancer,,MTT,TetrazoliumSalt,other,98.79
ZnO,None,141.0,404.0,,,Sphere,12.5,6.0,SIRC,Rabbit,Cornea,Fibroblast,Adult,Normal,,MTT,TetrazoliumSalt,meta_oxide,87.21
Al2O3,None,39.7,267.0,36.3,64.7,,50.0,24.0,HCMEC,Human,Heart,Endothelial,Adult,Normal,,MTT,TetrazoliumSalt,meta_oxide,92.27
