index	Model	Accuracy	AUC	Recall	Prec.	F1	Kappa	MCC	TT (Sec)
rf	Random Forest Classifier	0.8732	0.9105	0.6919	0.7345	0.712	0.6308	0.6317	0.561
xgboost	Extreme Gradient Boosting	0.8617	0.9096	0.6964	0.6948	0.6953	0.6058	0.6061	1.553
et	Extra Trees Classifier	0.8611	0.8824	0.6574	0.7101	0.6821	0.5935	0.5946	0.741
catboost	CatBoost Classifier	0.8604	0.9082	0.7157	0.6842	0.6992	0.6084	0.609	13.014
dt	Decision Tree Classifier	0.8564	0.8156	0.6898	0.682	0.6853	0.5923	0.5928	0.166
lightgbm	Light Gradient Boosting Machine	0.8499	0.9001	0.6949	0.6611	0.6772	0.5795	0.5802	0.215
knn	K Neighbors Classifier	0.7828	0.8385	0.7127	0.5157	0.5982	0.4546	0.4659	0.49
gbc	Gradient Boosting Classifier	0.7782	0.8295	0.6919	0.5087	0.586	0.4394	0.4493	0.703
dummy	Dummy Classifier	0.7731	0.5	0.0	0.0	0.0	0.0	0.0	0.124
ada	Ada Boost Classifier	0.7169	0.7827	0.697	0.4248	0.5277	0.3422	0.3637	0.282
lr	Logistic Regression	0.697	0.7672	0.7015	0.4039	0.5125	0.3152	0.3405	0.883
ridge	Ridge Classifier	0.6903	0.0	0.7051	0.3977	0.5084	0.3073	0.3342	0.13
svm	SVM - Linear Kernel	0.689	0.0	0.7203	0.4018	0.5125	0.3124	0.3438	0.203
lda	Linear Discriminant Analysis	0.6884	0.7613	0.7066	0.3961	0.5075	0.3053	0.3327	0.31
nb	Naive Bayes	0.3515	0.5741	0.9431	0.252	0.3976	0.0616	0.142	0.139
qda	Quadratic Discriminant Analysis	0.2738	0.528	0.9934	0.2373	0.383	0.0264	0.1076	0.249
