index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
xgboost	Extreme Gradient Boosting	9.768	270.3245	16.1473	0.7468	0.419	1.0982	0.262
et	Extra Trees Regressor	9.1218	278.0509	16.3865	0.7392	0.4174	0.9579	0.352
rf	Random Forest Regressor	10.0055	295.114	16.8839	0.7237	0.4275	1.1864	0.33
catboost	CatBoost Regressor	10.8808	303.9352	17.1667	0.7149	0.4402	0.9832	3.57
lightgbm	Light Gradient Boosting Machine	11.3905	326.2903	17.8024	0.6933	0.4535	1.1083	0.041
dt	Decision Tree Regressor	10.89	385.5595	19.3857	0.634	0.4678	1.6673	0.009
gbr	Gradient Boosting Regressor	15.8523	514.2139	22.5055	0.5123	0.5777	1.5949	0.093
knn	K Neighbors Regressor	15.8674	584.5422	24.0542	0.4363	0.5798	1.9086	0.027
ridge	Ridge Regression	19.7859	750.6785	27.2748	0.2816	0.6521	2.2932	0.016
br	Bayesian Ridge	19.8079	751.9978	27.2899	0.2812	0.6588	2.3481	0.024
lr	Linear Regression	19.9557	759.8973	27.4512	0.2714	0.6499	2.2635	0.459
huber	Huber Regressor	19.3013	790.7016	28.0038	0.2427	0.6667	2.3897	0.094
ada	AdaBoost Regressor	22.0734	813.8871	28.4495	0.2149	0.6802	2.2185	0.028
omp	Orthogonal Matching Pursuit	21.3361	850.8693	29.0441	0.1854	0.6848	2.2557	0.016
lasso	Lasso Regression	22.6791	914.0481	30.1074	0.1255	0.7121	2.6035	0.196
en	Elastic Net	23.382	947.6744	30.6694	0.0921	0.7153	2.6806	0.016
par	Passive Aggressive Regressor	21.496	977.5105	31.0754	0.0553	0.6854	2.3752	0.018
llar	Lasso Least Angle Regression	24.922	1042.2398	32.1889	-0.0013	0.7348	2.7693	0.016
dummy	Dummy Regressor	24.922	1042.2398	32.1889	-0.0013	0.7348	2.7693	0.015
lar	Least Angle Regression	2.5690755288795462e+17	2.6357636867015143e+36	5.133972620530056e+17	-2.751051673396806e+33	17.2046	7274798766589715.0	0.019
