index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
catboost	CatBoost Regressor	6.9363	127.3317	10.9779	0.8902	0.2725	0.342	1.825
lightgbm	Light Gradient Boosting Machine	7.8739	147.7825	11.9194	0.8728	0.307	0.4633	0.016
rf	Random Forest Regressor	7.7144	151.3343	12.0627	0.8695	0.2851	0.3651	0.08
xgboost	Extreme Gradient Boosting	7.444	159.0677	12.2047	0.8618	0.2887	0.317	0.07
gbr	Gradient Boosting Regressor	8.8413	175.2249	13.0176	0.8493	0.407	0.8615	0.015
et	Extra Trees Regressor	8.0787	175.0732	12.9822	0.8487	0.2903	0.2922	0.067
dt	Decision Tree Regressor	8.8878	212.8712	14.196	0.8146	0.3305	0.2902	0.005
knn	K Neighbors Regressor	11.1702	276.0234	16.3103	0.7697	0.3753	0.5184	0.007
lr	Linear Regression	13.5191	314.2404	17.5579	0.738	0.8806	4.4697	0.438
ridge	Ridge Regression	13.4932	315.0749	17.5659	0.7377	0.875	4.3549	0.005
br	Bayesian Ridge	13.5055	316.2845	17.5957	0.7368	0.8735	4.3051	0.007
huber	Huber Regressor	13.4394	339.5531	18.1619	0.718	0.8216	3.7656	0.01
ada	AdaBoost Regressor	16.5529	364.2658	19.0089	0.6936	1.0165	6.6334	0.015
lasso	Lasso Regression	15.833	398.536	19.7843	0.6672	0.7976	3.0772	0.177
par	Passive Aggressive Regressor	15.1529	428.9224	20.3833	0.641	0.8097	4.4329	0.005
omp	Orthogonal Matching Pursuit	17.7205	485.1337	21.9167	0.5916	0.9503	5.0674	0.005
en	Elastic Net	21.6084	620.4964	24.8164	0.4844	1.2099	10.729	0.005
llar	Lasso Least Angle Regression	29.0195	1123.8789	33.4394	0.0716	1.4278	20.494	0.005
dummy	Dummy Regressor	30.1526	1239.8896	35.1259	-0.0244	1.4636	22.6538	0.004
lar	Least Angle Regression	2798840194.0258	1.8202946786159752e+20	4269691382.1006	-1.6528031246565136e+17	10.028	135001401.5665	0.006
