index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
catboost	CatBoost Regressor	17.7269	552.2297	23.4328	0.3922	0.6415	0.863	2.56
lightgbm	Light Gradient Boosting Machine	17.8556	562.8929	23.6536	0.3802	0.6539	0.8736	0.028
rf	Random Forest Regressor	17.1848	564.054	23.6711	0.3782	0.6351	0.8077	0.199
xgboost	Extreme Gradient Boosting	17.2929	568.3317	23.7564	0.3745	0.6286	0.7636	0.194
gbr	Gradient Boosting Regressor	20.4436	655.6548	25.5552	0.2787	0.7153	1.0985	0.055
et	Extra Trees Regressor	18.2565	707.8739	26.5343	0.2191	0.694	0.7588	0.191
knn	K Neighbors Regressor	20.326	712.5678	26.6502	0.2133	0.7188	1.0386	0.016
ridge	Ridge Regression	22.7109	790.9499	28.0848	0.1285	0.7663	1.2352	0.007
dt	Decision Tree Regressor	19.1494	796.6127	28.1579	0.1204	0.7492	0.8115	0.009
br	Bayesian Ridge	23.1367	799.6724	28.2452	0.1188	0.7733	1.2676	0.012
huber	Huber Regressor	22.2137	811.9403	28.4437	0.1061	0.7754	1.2865	0.067
omp	Orthogonal Matching Pursuit	23.4671	824.8149	28.6765	0.0921	0.7781	1.2801	0.18
ada	AdaBoost Regressor	24.6186	829.4998	28.768	0.0863	0.7593	1.1829	0.027
lasso	Lasso Regression	24.5108	857.8351	29.2684	0.0543	0.7908	1.3188	0.181
en	Elastic Net	24.8663	875.204	29.5626	0.0354	0.7957	1.3298	0.007
llar	Lasso Least Angle Regression	25.5141	915.1155	30.2311	-0.0087	0.8035	1.3469	0.427
dummy	Dummy Regressor	25.5141	915.1155	30.2311	-0.0087	0.8035	1.3469	0.007
par	Passive Aggressive Regressor	24.4738	945.4565	30.6738	-0.046	0.8004	1.2767	0.009
lr	Linear Regression	23.7498	3394.5333	41.6918	-2.9942	0.7712	1.2416	0.449
