index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
et	Extra Trees Regressor	6.9829	147.1159	11.2423	0.687	0.3639	36.7375	0.064
xgboost	Extreme Gradient Boosting	7.2013	150.5858	11.4824	0.6783	0.3719	36.7433	0.068
gbr	Gradient Boosting Regressor	7.8523	163.4046	12.0293	0.6521	0.3795	37.4126	0.012
rf	Random Forest Regressor	7.9278	171.8102	12.439	0.6331	0.3865	37.168	0.077
catboost	CatBoost Regressor	7.9643	175.8861	12.5799	0.6187	0.39	36.7653	1.529
dt	Decision Tree Regressor	8.1903	179.365	12.647	0.5988	0.3794	36.7503	0.005
lightgbm	Light Gradient Boosting Machine	10.8623	246.2655	15.2451	0.4607	0.4191	38.5147	0.011
ridge	Ridge Regression	10.9113	267.8172	15.8549	0.422	0.4269	37.6465	0.004
lr	Linear Regression	11.0431	274.596	16.0696	0.4001	0.4264	36.8108	0.454
br	Bayesian Ridge	11.5354	285.9394	16.3793	0.3887	0.4349	39.0913	0.005
huber	Huber Regressor	11.2752	297.2688	16.5315	0.3775	0.4364	39.5746	0.01
ada	AdaBoost Regressor	12.9788	313.8634	17.4714	0.2818	0.4421	39.3143	0.007
knn	K Neighbors Regressor	12.0282	324.078	17.5131	0.2758	0.4614	39.7243	0.006
lasso	Lasso Regression	13.8213	351.0596	18.2558	0.2484	0.4591	43.7739	0.173
par	Passive Aggressive Regressor	13.1248	355.2702	18.1916	0.2274	0.4556	38.0538	0.004
en	Elastic Net	14.5212	377.2881	19.0366	0.1833	0.4734	48.4702	0.005
omp	Orthogonal Matching Pursuit	14.1844	396.1041	19.4143	0.1327	0.4746	46.6796	0.004
dummy	Dummy Regressor	16.5903	485.2902	21.7606	-0.0835	0.5095	57.7113	0.004
