index	Model	Accuracy	AUC	Recall	Prec.	F1	Kappa	MCC	TT (Sec)
xgboost	Extreme Gradient Boosting	0.9222	0.9614	0.8805	0.8756	0.8733	0.8176	0.822	0.079
catboost	CatBoost Classifier	0.9185	0.9661	0.8805	0.8669	0.8692	0.8104	0.8146	2.123
rf	Random Forest Classifier	0.9167	0.9544	0.8562	0.8789	0.8633	0.8037	0.8076	0.091
lightgbm	Light Gradient Boosting Machine	0.913	0.9634	0.8684	0.8633	0.859	0.7967	0.8033	0.021
et	Extra Trees Classifier	0.9074	0.95	0.8375	0.8663	0.8456	0.78	0.7856	0.076
gbc	Gradient Boosting Classifier	0.9037	0.9601	0.8507	0.848	0.844	0.7749	0.7798	0.026
ada	Ada Boost Classifier	0.8944	0.9386	0.8493	0.8208	0.8329	0.7561	0.7581	0.021
knn	K Neighbors Classifier	0.887	0.9371	0.8801	0.7885	0.8281	0.7451	0.7514	0.178
dt	Decision Tree Classifier	0.8704	0.8556	0.8085	0.7948	0.7949	0.701	0.7069	0.005
lr	Logistic Regression	0.8481	0.939	0.843	0.7148	0.772	0.6595	0.6663	0.395
ridge	Ridge Classifier	0.8407	0.0	0.8551	0.6971	0.7666	0.6479	0.6574	0.005
lda	Linear Discriminant Analysis	0.8407	0.9241	0.8555	0.6994	0.767	0.6485	0.659	0.005
svm	SVM - Linear Kernel	0.8259	0.0	0.7772	0.7077	0.7248	0.601	0.6168	0.006
dummy	Dummy Classifier	0.6926	0.5	0.0	0.0	0.0	0.0	0.0	0.004
nb	Naive Bayes	0.6333	0.733	0.9816	0.4591	0.6245	0.3523	0.4495	0.005
qda	Quadratic Discriminant Analysis	0.6204	0.7189	0.9754	0.449	0.6142	0.3321	0.4306	0.006
