index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
catboost	CatBoost Regressor	7.4174	132.0943	11.2239	0.8874	0.273	0.3083	1.722
xgboost	Extreme Gradient Boosting	7.391	142.5144	11.4423	0.8786	0.2611	0.2706	0.072
rf	Random Forest Regressor	8.1016	163.593	12.5839	0.8607	0.2912	0.3056	0.086
lightgbm	Light Gradient Boosting Machine	8.4119	167.8639	12.7296	0.8563	0.3067	0.3247	0.015
gbr	Gradient Boosting Regressor	9.0527	174.1956	13.0215	0.8522	0.3824	0.56	0.016
et	Extra Trees Regressor	8.241	177.2396	13.077	0.8485	0.2952	0.292	0.067
dt	Decision Tree Regressor	9.1801	217.6092	14.3633	0.812	0.3282	0.3054	0.005
knn	K Neighbors Regressor	11.5948	288.4574	16.8732	0.7509	0.3876	0.446	0.007
ridge	Ridge Regression	13.314	342.0686	18.2632	0.7048	0.7534	3.3407	0.005
lr	Linear Regression	13.3082	343.999	18.2741	0.7034	0.7583	3.4937	0.407
br	Bayesian Ridge	13.3596	344.0128	18.3287	0.7031	0.7514	3.235	0.005
huber	Huber Regressor	13.197	349.891	18.445	0.6986	0.7466	3.3935	0.01
ada	AdaBoost Regressor	16.5389	383.5823	19.5496	0.6731	1.0094	7.5648	0.016
lasso	Lasso Regression	16.1116	428.0299	20.619	0.6334	0.7666	2.658	0.178
par	Passive Aggressive Regressor	14.8427	434.5568	20.5843	0.6251	0.775	3.9135	0.005
omp	Orthogonal Matching Pursuit	16.9231	471.1117	21.646	0.5971	0.7754	3.3078	0.005
en	Elastic Net	21.7027	639.298	25.2616	0.4555	1.2206	13.7077	0.005
dummy	Dummy Regressor	29.7436	1213.6882	34.8098	-0.0286	1.4463	27.7368	0.004
