index	Model	Accuracy	AUC	Recall	Prec.	F1	Kappa	MCC	TT (Sec)
lightgbm	Light Gradient Boosting Machine	0.9118	0.9476	0.7819	0.7611	0.7711	0.7165	0.7168	0.077
xgboost	Extreme Gradient Boosting	0.9075	0.9488	0.7755	0.7483	0.7613	0.704	0.7044	0.462
rf	Random Forest Classifier	0.9066	0.9354	0.7416	0.7624	0.7509	0.6935	0.6942	0.199
catboost	CatBoost Classifier	0.9032	0.9443	0.7933	0.7241	0.7569	0.6966	0.6979	7.19
dt	Decision Tree Classifier	0.8971	0.8736	0.7594	0.7183	0.7375	0.6737	0.6746	0.02
et	Extra Trees Classifier	0.8937	0.9239	0.6834	0.74	0.7093	0.6445	0.6461	0.231
gbc	Gradient Boosting Classifier	0.8518	0.9036	0.7594	0.5875	0.6615	0.5689	0.5772	0.216
knn	K Neighbors Classifier	0.8141	0.8613	0.7125	0.51	0.5931	0.4774	0.4895	0.253
dummy	Dummy Classifier	0.8104	0.5	0.0	0.0	0.0	0.0	0.0	0.022
ada	Ada Boost Classifier	0.7951	0.8524	0.7238	0.4767	0.5738	0.447	0.4644	0.087
lr	Logistic Regression	0.7587	0.8363	0.769	0.4269	0.5483	0.4022	0.4349	0.477
svm	SVM - Linear Kernel	0.7321	0.0	0.7884	0.4008	0.5292	0.3706	0.4134	0.046
ridge	Ridge Classifier	0.724	0.0	0.7722	0.3879	0.5157	0.3519	0.3929	0.026
lda	Linear Discriminant Analysis	0.7225	0.8131	0.7754	0.3868	0.5153	0.3509	0.393	0.076
nb	Naive Bayes	0.3479	0.5877	0.9451	0.2185	0.3549	0.0677	0.1563	0.024
qda	Quadratic Discriminant Analysis	0.2677	0.5432	0.9871	0.2041	0.3383	0.0351	0.1224	0.051
