index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
xgboost	Extreme Gradient Boosting	10.5976	328.0724	17.6593	0.6924	0.4478	1.1762	0.274
et	Extra Trees Regressor	9.9485	331.4763	17.7292	0.6893	0.4412	1.0371	0.375
catboost	CatBoost Regressor	11.3797	340.4482	18.039	0.6793	0.467	1.1221	3.922
rf	Random Forest Regressor	10.7214	344.5007	18.1078	0.676	0.4618	1.2437	0.394
lightgbm	Light Gradient Boosting Machine	11.8166	360.1272	18.6405	0.6578	0.4817	1.1453	0.035
dt	Decision Tree Regressor	12.0727	439.529	20.5632	0.5818	0.4938	0.9313	0.019
gbr	Gradient Boosting Regressor	15.7694	520.0531	22.5929	0.4964	0.5831	1.8615	0.105
knn	K Neighbors Regressor	16.6706	655.1676	25.3814	0.3615	0.5992	2.055	0.029
ridge	Ridge Regression	19.5574	745.9937	27.1538	0.2703	0.6476	2.4751	0.017
br	Bayesian Ridge	19.6027	749.6737	27.2111	0.2674	0.652	2.5104	0.033
lr	Linear Regression	19.7726	749.9326	27.247	0.2643	0.6434	2.5109	0.397
huber	Huber Regressor	19.0712	779.6184	27.754	0.2378	0.6601	2.5562	0.101
omp	Orthogonal Matching Pursuit	20.9934	833.3956	28.6752	0.1864	0.6744	2.5402	0.019
ada	AdaBoost Regressor	22.4617	851.7161	28.9831	0.1675	0.6713	2.4496	0.036
lasso	Lasso Regression	22.2331	894.155	29.7255	0.126	0.6881	2.7952	0.201
en	Elastic Net	22.9434	927.8229	30.2966	0.0915	0.6981	2.8682	0.018
par	Passive Aggressive Regressor	21.5498	922.7798	30.2416	0.0915	0.6822	2.7346	0.022
dummy	Dummy Regressor	24.4627	1019.9415	31.7949	-0.0019	0.7187	2.9636	0.014
