index	Model	Accuracy	AUC	Recall	Prec.	F1	Kappa	MCC	TT (Sec)
lightgbm	Light Gradient Boosting Machine	0.7975	0.8378	0.6317	0.6127	0.6204	0.4827	0.484	0.046
xgboost	Extreme Gradient Boosting	0.7959	0.8347	0.6032	0.6141	0.6068	0.4693	0.4706	0.285
catboost	CatBoost Classifier	0.7942	0.8312	0.6714	0.5967	0.631	0.4892	0.4915	5.037
rf	Random Forest Classifier	0.7884	0.8182	0.6079	0.5939	0.5998	0.4562	0.457	0.16
dt	Decision Tree Classifier	0.7776	0.7345	0.5635	0.5772	0.5693	0.4196	0.4203	0.018
et	Extra Trees Classifier	0.7776	0.7634	0.5746	0.5752	0.5741	0.4238	0.4243	0.158
gbc	Gradient Boosting Classifier	0.7427	0.7873	0.6476	0.5075	0.5678	0.3889	0.3957	0.104
dummy	Dummy Classifier	0.7386	0.5	0.0	0.0	0.0	0.0	0.0	0.013
ada	Ada Boost Classifier	0.6983	0.7521	0.6778	0.4505	0.5398	0.3295	0.3459	0.057
knn	K Neighbors Classifier	0.6884	0.7548	0.6746	0.4375	0.5306	0.3129	0.3296	0.206
svm	SVM - Linear Kernel	0.6809	0.0	0.5048	0.4182	0.4472	0.2305	0.2381	0.024
lr	Logistic Regression	0.6614	0.6993	0.6444	0.4074	0.4982	0.2623	0.279	0.444
ridge	Ridge Classifier	0.6606	0.0	0.6603	0.4093	0.5042	0.268	0.2866	0.016
lda	Linear Discriminant Analysis	0.6568	0.6998	0.6524	0.4037	0.4979	0.2589	0.2771	0.036
qda	Quadratic Discriminant Analysis	0.473	0.5043	0.5698	0.2562	0.3477	-0.0008	0.0095	0.021
nb	Naive Bayes	0.4199	0.597	0.9127	0.3001	0.4516	0.0957	0.1716	0.015
