index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
rf	Random Forest Regressor	12.879	384.7902	19.5876	0.619	0.5343	1.6508	1.778
et	Extra Trees Regressor	12.2136	397.3608	19.9006	0.6064	0.5349	1.4976	1.895
xgboost	Extreme Gradient Boosting	14.1047	405.3772	20.1132	0.5994	0.5663	1.7879	1.058
catboost	CatBoost Regressor	14.6664	421.3499	20.5102	0.5838	0.5877	1.9194	4.967
lightgbm	Light Gradient Boosting Machine	15.4496	459.523	21.4206	0.5465	0.6105	2.1049	0.062
dt	Decision Tree Regressor	14.5771	557.716	23.5733	0.4471	0.6116	1.5619	0.041
knn	K Neighbors Regressor	16.7384	568.6326	23.827	0.4381	0.6318	1.9375	0.167
gbr	Gradient Boosting Regressor	20.0179	660.507	25.6854	0.3487	0.7408	3.0958	0.355
ridge	Ridge Regression	21.705	774.5496	27.8209	0.2358	0.7847	3.9126	0.018
br	Bayesian Ridge	21.7569	775.0891	27.8309	0.2352	0.7883	3.975	0.142
lr	Linear Regression	21.8131	781.3091	27.9427	0.2289	0.7848	3.8815	0.411
huber	Huber Regressor	21.2201	796.6884	28.2134	0.2141	0.7942	4.0394	0.491
omp	Orthogonal Matching Pursuit	23.3553	852.2883	29.1844	0.1589	0.81	4.1365	0.019
ada	AdaBoost Regressor	26.1664	957.7943	30.9407	0.0536	0.831	4.4995	0.225
lasso	Lasso Regression	25.3785	977.0668	31.2444	0.0367	0.8563	5.072	0.185
en	Elastic Net	25.4441	979.1014	31.2775	0.0346	0.8568	5.0537	0.019
par	Passive Aggressive Regressor	23.7295	978.2481	31.2337	0.0343	0.8063	3.5257	0.034
dummy	Dummy Regressor	26.0173	1015.1108	31.8473	-0.0009	0.8635	5.0927	0.015
