index	universal dataset model	metal oxide subset model	nanotube subset model
ccp_alpha	0.0	0.0	0.0
criterion	friedman_mse	friedman_mse	friedman_mse
init			
learning_rate	0.05	0.21	0.12
loss	deviance	deviance	deviance
max_depth	10	6	11
max_features	0.71	0.41	0.65
max_leaf_nodes			
min_impurity_decrease	1.72	0.0	5.99
min_impurity_split			
min_samples_leaf	3	2	1
min_samples_split	2	10	9
min_weight_fraction_leaf	0.0	0.0	0.0
n_estimators	296	238	287
n_iter_no_change			
presort	deprecated	deprecated	deprecated
random_state	123456	123456	123456
subsample	0.61	0.74	0.57
tol	0.0	0.0	0.0
validation_fraction	0.1	0.1	0.1
verbose	0	0	0
warm_start	False	False	False
