index	universal dataset model	metal oxide subset model	nanotube subset model
boosting_type	gbdt	gbdt	gbdt
class_weight			
colsample_bytree	1.0	1.0	1.0
importance_type	split	split	split
learning_rate	0.04	0.04	0.04
max_depth	-1	-1	-1
min_child_samples	13	13	32
min_child_weight	0.0	0.0	0.0
min_split_gain	0.05	0.03	0.09
n_estimators	286	268	244
n_jobs	-1	-1	-1
num_leaves	74	119	40
objective			
random_state	123456	123456	123456
reg_alpha	0.06	1.03	0.74
reg_lambda	0.1	0.0	2.67
silent	warn	warn	warn
subsample	1.0	1.0	1.0
subsample_for_bin	200000	200000	200000
subsample_freq	0	0	0
feature_fraction	0.75	1.0	0.5
bagging_fraction	0.81	0.69	0.78
bagging_freq	2	6	6
