index	universal dataset model	metal oxide subset model	nanotube subset model
boosting_type	gbdt	gbdt	gbdt
class_weight			
colsample_bytree	1.0	1.0	1.0
importance_type	split	split	split
learning_rate	0.05	0.07	0.04
max_depth	-1	-1	-1
min_child_samples	20	1	7
min_child_weight	0.0	0.0	0.0
min_split_gain	0.44	0.36	0.35
n_estimators	206	202	135
n_jobs	-1	-1	-1
num_leaves	225	184	95
objective			
random_state	123456	123456	123456
reg_alpha	1.25	1.86	8.81
reg_lambda	0.0	1.02	0.0
silent	warn	warn	warn
subsample	1.0	1.0	1.0
subsample_for_bin	200000	200000	200000
subsample_freq	0	0	0
feature_fraction	0.78	0.68	0.56
bagging_fraction	0.92	0.82	0.47
bagging_freq	2	5	0
