index	universal dataset model	metal oxide subset model	nanotube subset model
bootstrap	True	True	True
ccp_alpha	0.0	0.0	0.0
criterion	mse	mse	mse
max_depth			
max_features	auto	auto	auto
max_leaf_nodes			
max_samples			
min_impurity_decrease	0.0	0.0	0.0
min_impurity_split			
min_samples_leaf	1	1	1
min_samples_split	2	2	2
min_weight_fraction_leaf	0.0	0.0	0.0
n_estimators	100	100	100
n_jobs	-1	-1	-1
oob_score	False	False	False
random_state	123456	123456	123456
verbose	0	0	0
warm_start	False	False	False
